Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
cardiotocography-10clases,VAT,5,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.7417840375586855,0.5931613879163787,0.03134051616008236,0.7223202614379085,0.9631819057072565,0.8213276077732471,109s,48965ms
cardiotocography-10clases,VAT,6,"{'net__criterion__VAT_eps': 1.0093909523850941, 'net__criterion__alpha': 1.17781653679623, 'net__lr': 0.002773078934602432}",0.7370892018779343,0.615412865013591,0.032375895612158354,0.7399073214448497,0.9557029349098982,0.8168584059233616,112s,54962ms
cardiotocography-10clases,VAT,7,"{'net__criterion__VAT_eps': 1.5065832050795642, 'net__criterion__alpha': 0.9663107728563063, 'net__lr': 0.0025198133608158673}",0.7358490566037735,0.6439545693266201,0.033564473923373625,0.8055821764442455,0.9661554443479025,0.8216113840734678,111s,46874ms
cardiotocography-10clases,VAT,8,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.6981132075471698,0.5816436264884541,0.03716952003315385,0.7670237575183723,0.9688694916134162,0.7922676152127008,112s,49965ms
cardiotocography-10clases,VAT,9,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.7358490566037735,0.5543023585609792,0.03176164374163759,0.6643434343434342,0.9636885091281643,0.8172105229959544,109s,46876ms
cardiotocography-10clases,VAT,10,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.7594339622641509,0.6634330591653107,0.029336798807896015,0.8429170580663119,0.9669007793273514,0.8200245971258324,107s,47629ms
cardiotocography-3clases,VAT,1,"{'net__criterion__VAT_eps': 1.529111224209254, 'net__criterion__alpha': 1.2742336894342166, 'net__lr': 0.004615888288943831}",0.9061032863849765,0.791919191919192,0.11327413479052822,0.8958333333333334,0.9521604938271605,0.969909348199743,107s,31250ms
cardiotocography-3clases,VAT,2,"{'net__criterion__VAT_eps': 1.2365488517378664, 'net__criterion__alpha': 1.139921021327524, 'net__lr': 0.0015191975453495595}",0.8779342723004695,0.7632996632996633,0.11384510298444724,0.8142057176539934,0.9162626262626263,0.9455472177523967,109s,46875ms
cardiotocography-3clases,VAT,3,"{'net__criterion__VAT_eps': 1.2709481284449005, 'net__criterion__alpha': 0.7982823259560308, 'net__lr': 0.005742652615942523}",0.892018779342723,0.7198653198653199,0.11350357292980244,0.839040404040404,0.9284399551066218,0.9668994487071725,108s,48965ms
cardiotocography-3clases,VAT,4,"{'net__criterion__VAT_eps': 1.4461632652812366, 'net__criterion__alpha': 1.452749011516985, 'net__lr': 0.0045265412483145116}",0.8826291079812206,0.734006734006734,0.1069006585400028,0.8196605523930002,0.9328170594837261,0.9646227659854499,105s,46874ms
