Dataset Name,Algorithm Name,Cross Validation,Hyperparameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Training Time,Inference Time
mfeat-karhunen,VAT,10,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.925,0.9250000000000002,0.0083333333333333,0.931261210017604,0.9973611111111113,0.9794612077448804,109s,49965ms
parkinsons,VAT,1,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.8,1.0,0.8,0.8947368421052632,0.92,0.9244179391996332,6s,48965ms
parkinsons,VAT,2,"{'net__criterion__VAT_eps': 2.39526239185453, 'net__criterion__alpha': 0.5602254716292698, 'net__lr': 0.006700990482912111}",0.95,0.9333333333333332,0.0,0.9166666666666669,0.9866666666666668,0.9880595716894348,6s,62500ms
parkinsons,VAT,3,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8,0.8666666666666667,0.4,0.7333333333333334,0.8933333333333333,0.9409220521200432,7s,46875ms
parkinsons,VAT,4,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.95,1.0,0.2,0.96875,1.0,0.997559523809524,6s,46874ms
parkinsons,VAT,5,"{'net__criterion__VAT_eps': 1.529111224209254, 'net__criterion__alpha': 1.2742336894342166, 'net__lr': 0.004615888288943831}",0.95,0.9333333333333332,0.0,0.9166666666666669,0.9866666666666668,0.9586458827446472,27s,1s
parkinsons,VAT,6,"{'net__criterion__VAT_eps': 2.5563135018997007, 'net__criterion__alpha': 1.3700121482468193, 'net__lr': 0.009788321588104365}",0.9473684210526316,1.0,0.25,0.96875,1.0,0.997299168975069,26s,1s
parkinsons,VAT,7,"{'net__criterion__VAT_eps': 2.2879803984592746, 'net__criterion__alpha': 0.9238550485581797, 'net__lr': 0.006103292819866452}",0.8947368421052632,1.0,0.5,0.9411764705882352,1.0,0.9792512581293742,8s,46874ms
parkinsons,VAT,8,"{'net__criterion__VAT_eps': 2.5563135018997007, 'net__criterion__alpha': 1.3700121482468193, 'net__lr': 0.009788321588104365}",0.8947368421052632,1.0,0.4,0.9375,0.9857142857142858,0.9740451008797048,7s,46875ms
parkinsons,VAT,9,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.8947368421052632,0.9285714285714286,0.2,0.8642857142857143,0.9714285714285716,0.9790342895376244,6s,46875ms
parkinsons,VAT,10,"{'net__criterion__VAT_eps': 2.0976270078546495, 'net__criterion__alpha': 1.2151893663724196, 'net__lr': 0.006067357423109275}",0.8947368421052632,1.0,0.4,0.9375,0.9857142857142858,0.9740451008797048,6s,46874ms
vertebral-column-2clases,VAT,1,"{'net__criterion__VAT_eps': 1.529111224209254, 'net__criterion__alpha': 1.2742336894342166, 'net__lr': 0.004615888288943831}",0.6774193548387096,0.0,0.0,0.3387096774193548,0.8666666666666667,0.8537435743747117,9s,93755ms
vertebral-column-2clases,VAT,2,"{'net__criterion__VAT_eps': 1.3179391672910394, 'net__criterion__alpha': 0.6103751411643051, 'net__lr': 0.006597662935706208}",0.8387096774193549,0.8,0.1428571428571428,0.8136363636363637,0.9214285714285714,0.9473435890726168,12s,62500ms
vertebral-column-2clases,VAT,3,"{'net__criterion__VAT_eps': 1.2763659026972276, 'net__criterion__alpha': 0.6965823616800535, 'net__lr': 0.003750379189543545}",0.8387096774193549,0.6,0.0476190476190476,0.8452380952380952,0.8714285714285716,0.8915902939379449,12s,62500ms
vertebral-column-2clases,VAT,4,"{'net__criterion__VAT_eps': 1.2709481284449005, 'net__criterion__alpha': 0.7982823259560308, 'net__lr': 0.005742652615942523}",0.6774193548387096,0.0,0.0,0.3387096774193548,0.8333333333333333,0.8428425313387645,12s,78125ms
vertebral-column-2clases,VAT,5,"{'net__criterion__VAT_eps': 1.1878810215168834, 'net__criterion__alpha': 1.0759464955561793, 'net__lr': 0.009300032356004519}",0.8064516129032258,0.7,0.1428571428571428,0.7785714285714285,0.9333333333333332,0.93948961924614,12s,62499ms
vertebral-column-2clases,VAT,6,"{'net__criterion__VAT_eps': 1.4177535121896694, 'net__criterion__alpha': 0.6613095178849963, 'net__lr': 0.0065657724221074455}",0.6774193548387096,0.6,0.2857142857142857,0.6447368421052632,0.7761904761904761,0.7824459711390995,12s,76946ms
vertebral-column-2clases,VAT,7,"{'net__criterion__VAT_eps': 1.4177535121896694, 'net__criterion__alpha': 0.6613095178849963, 'net__lr': 0.0065657724221074455}",0.6774193548387096,0.0,0.0,0.3387096774193548,0.8761904761904762,0.8495055725798,12s,109374ms
vertebral-column-2clases,VAT,8,"{'net__criterion__VAT_eps': 2.0897663659937935, 'net__criterion__alpha': 0.9236547993389047, 'net__lr': 0.006494351719359896}",0.6774193548387096,0.0,0.0,0.3387096774193548,0.9666666666666668,0.8954679657530438,13s,46875ms
vertebral-column-2clases,VAT,9,"{'net__criterion__VAT_eps': 1.038386396618667, 'net__criterion__alpha': 0.8015748166745493, 'net__lr': 0.006635718021177583}",0.6451612903225806,0.0,0.0476190476190476,0.3333333333333333,0.8666666666666666,0.8603262115466188,12s,78124ms
vertebral-column-2clases,VAT,10,"{'net__criterion__VAT_eps': 1.1742585994030814, 'net__criterion__alpha': 0.5202183974403257, 'net__lr': 0.008342936470924586}",0.8709677419354839,0.8,0.0952380952380952,0.8523809523809525,0.9666666666666668,0.9597849056687304,12s,60957ms
waveform-noise,VAT,1,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.874,0.8738782996428965,0.063001426465732,0.8756181243447099,0.9757249906925534,0.9533264308453162,315s,38974ms
waveform-noise,VAT,2,"{'net__criterion__VAT_eps': 2.889337834099168, 'net__criterion__alpha': 1.0218483217500718, 'net__lr': 0.004205153205906184}",0.868,0.8680358874983528,0.0659750166439002,0.8728818339368328,0.9715265580881892,0.93379753245408,257s,31249ms
waveform-noise,VAT,3,"{'net__criterion__VAT_eps': 2.692817344942256, 'net__criterion__alpha': 1.1994792753175043, 'net__lr': 0.0030446258134658234}",0.832,0.8326381372720575,0.0839148235521561,0.8344446900481385,0.9607288036852448,0.9171246607915224,252s,31251ms
waveform-noise,VAT,4,"{'net__criterion__VAT_eps': 2.341275739236319, 'net__criterion__alpha': 0.7103825610738409, 'net__lr': 0.0013763703467830478}",0.834,0.8338567826983027,0.0831002737276945,0.8369948421744002,0.957771483999473,0.9094472830791396,253s,48966ms
waveform-noise,VAT,5,"{'net__criterion__VAT_eps': 2.341275739236319, 'net__criterion__alpha': 0.7103825610738409, 'net__lr': 0.0013763703467830478}",0.844,0.844174258446733,0.0780770514704009,0.8456203625434395,0.9647782811360196,0.932618785092298,255s,46874ms
waveform-noise,VAT,6,"{'net__criterion__VAT_eps': 1.0783755845086413, 'net__criterion__alpha': 0.7828069625764096, 'net__lr': 0.0012899459560103722}",0.868,0.8687462863933452,0.0659430122116689,0.868802397629486,0.9716564936351032,0.946578611320973,252s,27981ms
waveform-noise,VAT,7,"{'net__criterion__VAT_eps': 2.692817344942256, 'net__criterion__alpha': 1.1994792753175043, 'net__lr': 0.0030446258134658234}",0.848,0.8483660130718954,0.0759837177747625,0.8492225789031691,0.963902482939916,0.9233769886018894,255s,62498ms
waveform-noise,VAT,8,"{'net__criterion__VAT_eps': 2.6123879780921717, 'net__criterion__alpha': 1.2038885835403663, 'net__lr': 0.0010922461843917812}",0.844,0.844214224659081,0.0780294936123154,0.8503330249220076,0.9608327878485432,0.9055694801332694,253s,46873ms
waveform-noise,VAT,9,"{'net__criterion__VAT_eps': 2.889337834099168, 'net__criterion__alpha': 1.0218483217500718, 'net__lr': 0.004205153205906184}",0.854,0.854574331034016,0.0728947479978042,0.857130927719163,0.9674577456319812,0.9348770692580424,251s,48965ms
waveform-noise,VAT,10,"{'net__criterion__VAT_eps': 2.39526239185453, 'net__criterion__alpha': 0.5602254716292698, 'net__lr': 0.006700990482912111}",0.868,0.8685697064751746,0.0658753017480393,0.8721906667692859,0.9733481532369392,0.9420590674723688,251s,62499ms
